POSTAL_CODE,CITY,PROVINCE_ABBR,TIME_ZONE,LATITUDE,LONGITUDE
T5X 3J1,EDMONTON,AB,7,53.634491,-113.507171
T5J 0H1,EDMONTON,AB,7,53.5456087,-113.4913773
T6B 0J2,EDMONTON,AB,7,53.520179,-113.423002
T6A 3C5,EDMONTON,AB,7,53.546447,-113.446136
T5S 2C5,EDMONTON,AB,7,53.541457,-113.712179
T5W 5J2,EDMONTON,AB,7,53.556636,-113.411293
T5A 3L9,EDMONTON,AB,7,53.5970155,-113.4025905
T5W 2Y9,EDMONTON,AB,7,53.5742885,-113.415336
T6L 1C5,EDMONTON,AB,7,53.467808,-113.420767
T6C 2W3,EDMONTON,AB,7,53.526943,-113.451595
T5C 3P7,EDMONTON,AB,7,53.615288,-113.449733
T5X 3Z1,EDMONTON,AB,7,53.634401,-113.513091
T6M 2M9,EDMONTON,AB,7,53.487763,-113.639534
T5L 1W2,EDMONTON,AB,7,53.593263,-113.551886
T6P 1R7,EDMONTON,AB,7,53.497812,-113.346702
T5N 0T9,EDMONTON,AB,7,53.544032,-113.5742099
T6R 1K4,EDMONTON,AB,7,53.462332,-113.567324
T5J 2W8,EDMONTON,AB,7,53.541307,-113.4891414
T5Y 3B9,EDMONTON,AB,7,53.614659,-113.414714
T5Z 2T1,EDMONTON,AB,7,53.617258,-113.464888
T5N 1B2,EDMONTON,AB,7,53.549132,-113.5629998
T6A 1Z9,EDMONTON,AB,7,53.5495069,-113.4153214
T6X 1Y4,EDMONTON,AB,7,53.431959,-113.464225
T6W 2L8,EDMONTON,AB,7,53.426872,-113.533265
T5B 2Y7,EDMONTON,AB,7,53.567465,-113.468802
T6L 3B9,EDMONTON,AB,7,53.447459,-113.399993
T5P 1V7,EDMONTON,AB,7,53.551349,-113.581576
T6J 6V4,EDMONTON,AB,7,53.417136,-113.495149
T5B 1A3,EDMONTON,AB,7,53.576618,-113.464397
T5T 7L2,EDMONTON,AB,7,53.5039488,-113.7111145
T5S 2E5,EDMONTON,AB,7,53.570437,-113.655403
T6J 2V8,EDMONTON,AB,7,53.4685827,-113.5061252
T6C 0G9,EDMONTON,AB,7,53.511311,-113.457816
T6M 3A4,EDMONTON,AB,7,53.535405,-113.678595
T6C 1M2,EDMONTON,AB,7,53.5235212,-113.4676601
T6R 3T6,EDMONTON,AB,7,53.550255,-113.703371
T6R 2S8,EDMONTON,AB,7,53.459988,-113.567829
T6L 2Y5,EDMONTON,AB,7,53.449163,-113.417032
T6X 0V3,EDMONTON,AB,7,53.4158884,-113.4447708
T6L 6R5,EDMONTON,AB,7,53.473384,-113.402537
T6M 0K3,EDMONTON,AB,7,53.451522,-113.639132
T5J 3X3,EDMONTON,AB,7,53.545658,-113.492263
T6B 0X9,EDMONTON,AB,7,53.53214,-113.427226
T5E 4W1,EDMONTON,AB,7,53.593576,-113.5040355
T5E 2V5,EDMONTON,AB,7,53.600853,-113.467937
T6W 5E3,EDMONTON,AB,7,53.4145534,-113.5952042
T5H 3Z7,EDMONTON,AB,7,53.549799,-113.509418
T5X 2P6,EDMONTON,AB,7,53.622322,-113.499244
T6L 6P1,EDMONTON,AB,7,53.438211,-113.409502
T5A 0V6,EDMONTON,AB,7,53.593864,-113.436685
T5T 6A4,EDMONTON,AB,7,53.514392,-113.675491
T5W 4P7,EDMONTON,AB,7,53.5699,-113.415325
T6J 4J3,EDMONTON,AB,7,53.459204,-113.499326
T5P 0X9,EDMONTON,AB,7,53.5504897,-113.5955667
T5E 3L1,EDMONTON,AB,7,53.594414,-113.477825
T5H 0M3,EDMONTON,AB,7,53.549839,-113.485172
T5P 4A8,EDMONTON,AB,7,53.541151,-113.60803
T6C 2E6,EDMONTON,AB,7,53.536769,-113.474144
T5L 1X1,EDMONTON,AB,7,53.5734337,-113.5550745
T5V 1E9,EDMONTON,AB,7,53.585084,-113.590292
T5W 4B8,EDMONTON,AB,7,53.564557,-113.432498
T6G 1X5,EDMONTON,AB,7,53.524903,-113.539049
T5N 1L8,EDMONTON,AB,7,53.542947,-113.567686
T5H 3K8,EDMONTON,AB,7,53.5501839,-113.5193336
T6E 1J6,EDMONTON,AB,7,53.511321,-113.504592
T5L 0S2,EDMONTON,AB,7,53.5721199,-113.5375904
T5N 1E7,EDMONTON,AB,7,53.5503973,-113.5741722
T5W 2C9,EDMONTON,AB,7,53.5600286,-113.3999047
T5M 3G7,EDMONTON,AB,7,53.56848,-113.536326
T5B 4V2,EDMONTON,AB,7,53.562744,-113.469023
T5T 3A9,EDMONTON,AB,7,53.532425,-113.637044
T5W 0E1,EDMONTON,AB,7,53.56055,-113.396551
T5N 2C5,EDMONTON,AB,7,53.546327,-113.554641
T5B 3G3,EDMONTON,AB,7,53.574361,-113.470779
T5A 3N1,EDMONTON,AB,7,53.590255,-113.390251
T5E 3L8,EDMONTON,AB,7,53.586138,-113.479661
T5E 5K3,EDMONTON,AB,7,53.592247,-113.523392
T5R 4Z1,EDMONTON,AB,7,53.524867,-113.57501
T6W 4S8,EDMONTON,AB,7,53.424854,-113.570278
T6W 0G1,EDMONTON,AB,7,53.421107,-113.51464
T5H 3E3,EDMONTON,AB,7,53.55469,-113.510268
T6E 2V6,EDMONTON,AB,7,53.4963147,-113.4706456
T6C 0M6,EDMONTON,AB,7,53.514193,-113.443479
T5E 4R7,EDMONTON,AB,7,53.587503,-113.500763
T6R 1X7,EDMONTON,AB,7,53.4699653,-113.5705069
T6J 6J2,EDMONTON,AB,7,53.441116,-113.50371
T6E 6T9,EDMONTON,AB,7,53.5136045,-113.4431035
T6B 0Y1,EDMONTON,AB,7,53.531249,-113.431859
T5M 2W5,EDMONTON,AB,7,53.562077,-113.536106
T5G 1R3,EDMONTON,AB,7,53.5704319,-113.4884929
T6J 6G6,EDMONTON,AB,7,53.440819,-113.497206
T5P 1E9,EDMONTON,AB,7,53.5561614,-113.5904323
T5Y 3G6,EDMONTON,AB,7,53.600774,-113.398414
T5K 1P4,EDMONTON,AB,7,53.543144,-113.51579
T5C 2J7,EDMONTON,AB,7,53.598546,-113.44493
T5Z 3G1,EDMONTON,AB,7,53.622652,-113.466486
T6W 4T6,EDMONTON,AB,7,53.412788,-113.5665175
T5W 3A4,EDMONTON,AB,7,53.573572,-113.4168033
T6L 5W7,EDMONTON,AB,7,53.451846,-113.412777
T5M 0A4,EDMONTON,AB,7,53.5511261,-113.5323801
T5H 2M6,EDMONTON,AB,7,53.554882,-113.490715
T6A 0W4,EDMONTON,AB,7,53.545515,-113.414349
T6J 5H1,EDMONTON,AB,7,53.450205,-113.50008
T6J 7H6,EDMONTON,AB,7,53.445714,-113.54185
T5G 1K6,EDMONTON,AB,7,53.5799397,-113.485494
T6R 1S9,EDMONTON,AB,7,53.46652,-113.6014755
T6Y 0H9,EDMONTON,AB,7,53.3959278,-113.492043
T6W 4E7,EDMONTON,AB,7,53.4142974,-113.6001248
T5R 0A7,EDMONTON,AB,7,53.526822,-113.602765
T6X 1V5,EDMONTON,AB,7,53.431959,-113.464225
T6E 1X6,EDMONTON,AB,7,53.5172152,-113.4990724
T5X 1J5,EDMONTON,AB,7,53.610858,-113.521818
T6W 2G4,EDMONTON,AB,7,53.426872,-113.533265
T5R 3C1,EDMONTON,AB,7,53.5137416,-113.5608462
T6L 2N2,EDMONTON,AB,7,53.442875,-113.39924
T6H 2Z2,EDMONTON,AB,7,53.495517,-113.508547
T5G 0E1,EDMONTON,AB,7,53.559007,-113.523692
T5W 4N7,EDMONTON,AB,7,53.565081,-113.423267
T6T 1W8,EDMONTON,AB,7,53.461392,-113.384772
T6B 3B3,EDMONTON,AB,7,53.508613,-113.430642
T5W 0X5,EDMONTON,AB,7,53.5685449,-113.4144662
T5S 1V5,EDMONTON,AB,7,53.544231,-113.618209
T5X 3P8,EDMONTON,AB,7,53.60482,-113.529585
T5T 2K6,EDMONTON,AB,7,53.52381,-113.637983
T5N 2S6,EDMONTON,AB,7,53.5495546,-113.566795
T5H 1E3,EDMONTON,AB,7,53.5546517,-113.5169261
T5A 0Y8,EDMONTON,AB,7,53.5970601,-113.439415
T6H 0T2,EDMONTON,AB,7,53.492742,-113.5428676
T6L 5S1,EDMONTON,AB,7,53.463649,-113.396404
T6E 3C7,EDMONTON,AB,7,53.502053,-113.471908
T5L 4L2,EDMONTON,AB,7,53.573543,-113.565951
T5P 2Y2,EDMONTON,AB,7,53.543426,-113.593864
T5Z 2W7,EDMONTON,AB,7,53.630185,-113.480621
T5Y 6C7,EDMONTON,AB,7,53.614047,-113.353896
T6M 0X9,EDMONTON,AB,7,53.45021,-113.667117
T5A 0X3,EDMONTON,AB,7,53.597989,-113.438285
T5G 2C6,EDMONTON,AB,7,53.578424,-113.493714
T5X 3T4,EDMONTON,AB,7,53.60286,-113.528641
T5X 2B2,EDMONTON,AB,7,53.622488,-113.516045
T5X 2N2,EDMONTON,AB,7,53.629041,-113.511504
T5N 0R5,EDMONTON,AB,7,53.544615,-113.544207
T6C 0A8,EDMONTON,AB,7,53.5089856,-113.4464922
T5X 6B3,EDMONTON,AB,7,53.616543,-113.500881
T5C 1Z6,EDMONTON,AB,7,53.591253,-113.4435805
T5H 4K8,EDMONTON,AB,7,53.550109,-113.4891886
T6C 4C6,EDMONTON,AB,7,53.535803,-113.4572714
T5L 1J2,EDMONTON,AB,7,53.5868444,-113.5440543
T6H 2A9,EDMONTON,AB,7,53.504327,-113.498838
T6C 3S6,EDMONTON,AB,7,53.516376,-113.470146
T5X 6K5,EDMONTON,AB,7,53.641964,-113.513947
T6W 3H8,EDMONTON,AB,7,53.401659,-113.526086
T5T 1K9,EDMONTON,AB,7,53.523841,-113.631782
T5G 1L5,EDMONTON,AB,7,53.565902,-113.487177
T5C 0V2,EDMONTON,AB,7,53.597853,-113.453977
T5Y 1N1,EDMONTON,AB,7,53.60608,-113.377562
T6H 4B6,EDMONTON,AB,7,53.4891769,-113.5657875
T6E 2X9,EDMONTON,AB,7,53.501064,-113.459318
T5X 6E7,EDMONTON,AB,7,53.435798,-113.491728
T5J 2M4,EDMONTON,AB,7,53.545552,-113.492263
T5W 5B2,EDMONTON,AB,7,53.5788332,-113.4026268
T5L 1T5,EDMONTON,AB,7,53.571464,-113.552915
T6H 1P1,EDMONTON,AB,7,53.499955,-113.495911
T6P 0B7,EDMONTON,AB,7,53.520604,-113.374363
T5E 3K7,EDMONTON,AB,7,53.601893,-113.477418
T5C 0H8,EDMONTON,AB,7,53.6025932,-113.4478126
T6J 2J3,EDMONTON,AB,7,53.474567,-113.499981
T6M 0L9,EDMONTON,AB,7,53.4663985,-113.6415805
T6M 2R7,EDMONTON,AB,7,53.48659,-113.647855
T5W 2T5,EDMONTON,AB,7,53.5724991,-113.4105376
T5C 0M2,EDMONTON,AB,7,53.586192,-113.4508
T5W 4K1,EDMONTON,AB,7,53.5633547,-113.4366914
T6E 2Y7,EDMONTON,AB,7,53.502954,-113.461954
T6H 2S3,EDMONTON,AB,7,53.489969,-113.502632
T6N 1J8,EDMONTON,AB,7,53.455436,-113.475523
T6J 1N1,EDMONTON,AB,7,53.480668,-113.524519
T6C 3C6,EDMONTON,AB,7,53.5963,-113.471535
T5M 2A1,EDMONTON,AB,7,53.55083,-113.542922
T6H 0V7,EDMONTON,AB,7,53.490611,-113.522903
T5L 0Y9,EDMONTON,AB,7,53.596569,-113.539549
T5A 4R6,EDMONTON,AB,7,53.604289,-113.419783
T5A 1J1,EDMONTON,AB,7,53.604992,-113.426362
T6M 1E8,EDMONTON,AB,7,53.492175,-113.62429
T6J 1K1,EDMONTON,AB,7,53.4707698,-113.522546
T5T 2S4,EDMONTON,AB,7,53.501888,-113.639645
T5A 4E5,EDMONTON,AB,7,53.5821074,-113.3909808
T5G 3J2,EDMONTON,AB,7,53.564483,-113.525965
T6M 1L6,EDMONTON,AB,7,53.446795,-113.669197
T6N 1N1,EDMONTON,AB,7,53.4586897,-113.4723832
T5X 1A1,EDMONTON,AB,7,53.607031,-113.516935
T5G 2W5,EDMONTON,AB,7,53.568279,-113.52618
T6E 0M4,EDMONTON,AB,7,53.50289,-113.479848
T6S 1G7,EDMONTON,AB,7,53.575476,-113.305308
T6G 1B4,EDMONTON,AB,7,53.5279892,-113.5323706
T5K 2Y7,EDMONTON,AB,7,53.5458758,-113.5230587
T5P 0Z5,EDMONTON,AB,7,53.551907,-113.60503
T6G 0N4,EDMONTON,AB,7,53.5141485,-113.5304515
T5C 0V4,EDMONTON,AB,7,53.6008877,-113.4538154
T6A 3X6,EDMONTON,AB,7,53.538434,-113.424611
T5A 2C2,EDMONTON,AB,7,53.605216,-113.440256
T6P 1E4,EDMONTON,AB,7,53.5001352,-113.3612879
T5A 1C8,EDMONTON,AB,7,53.599719,-113.426622
T5E 6P9,EDMONTON,AB,7,53.588705,-113.501258
T6V 1N6,EDMONTON,AB,7,53.614961,-113.559512
T6B 2S9,EDMONTON,AB,7,53.5197574,-113.4158508
T6J 6X4,EDMONTON,AB,7,53.478831,-113.504084
T5C 2X9,EDMONTON,AB,7,53.612332,-113.4527114
T5H 0L3,EDMONTON,AB,7,53.54826,-113.510105
T6T 1N5,EDMONTON,AB,7,53.476352,-113.377157
T5Z 0P4,EDMONTON,AB,7,53.524602,-113.631331
T6L 4B9,EDMONTON,AB,7,53.4396785,-113.4099495
T6B 3V3,EDMONTON,AB,7,53.519502,-113.425859
T5Y 2R7,EDMONTON,AB,7,53.615351,-113.36973
T6X 1B5,EDMONTON,AB,7,53.421715,-113.472081
T6K 2Y2,EDMONTON,AB,7,53.463128,-113.452613
T6W 3J6,EDMONTON,AB,7,53.49557,-113.672149
T5J 0L3,EDMONTON,AB,7,53.5430271,-113.506605
T6L 1Y1,EDMONTON,AB,7,53.443558,-113.43251
T5E 6T3,EDMONTON,AB,7,53.588705,-113.501258
T6E 4N6,EDMONTON,AB,7,53.498999,-113.449834
T6H 5R1,EDMONTON,AB,7,53.478345,-113.583932
T6G 2T6,EDMONTON,AB,7,53.510213,-113.512031
T5T 7M1,EDMONTON,AB,7,53.5353682,-113.7006327
T6J 2P1,EDMONTON,AB,7,53.4805766,-113.507844
T5P 0Z2,EDMONTON,AB,7,53.551902,-113.595924
T5T 2X3,EDMONTON,AB,7,53.500284,-113.603951
T6Y 0H8,EDMONTON,AB,7,53.3959278,-113.492043
T5A 1J9,EDMONTON,AB,7,53.605525,-113.42364
T5E 1J2,EDMONTON,AB,7,53.594611,-113.493876
T5L 1P9,EDMONTON,AB,7,53.5790025,-113.5534755
T6A 0L8,EDMONTON,AB,7,53.542191,-113.420496
T6X 2Y7,EDMONTON,AB,7,53.403035,-113.456028
T6X 1B7,EDMONTON,AB,7,53.426279,-113.472684
T6J 6L1,EDMONTON,AB,7,53.476178,-113.500086
T5L 4K4,EDMONTON,AB,7,53.573525,-113.532356
T6A 2C1,EDMONTON,AB,7,53.5427892,-113.4183799
T5T 7R1,EDMONTON,AB,7,53.5327791,-113.71147
T5C 0B7,EDMONTON,AB,7,53.596983,-113.44266
T5Y 1V9,EDMONTON,AB,7,53.609843,-113.368033
T5K 0M9,EDMONTON,AB,7,53.540942,-113.521459
T5X 1C8,EDMONTON,AB,7,53.6120774,-113.5207243
T6E 4H5,EDMONTON,AB,7,53.520498,-113.500454
T6C 2L7,EDMONTON,AB,7,53.519293,-113.445701
T5X 4N8,EDMONTON,AB,7,53.626778,-113.525044
T6C 0M9,EDMONTON,AB,7,53.514186,-113.447536
T5M 1C4,EDMONTON,AB,7,53.562204,-113.547908
T5M 2J1,EDMONTON,AB,7,53.555721,-113.539648
